,Set,Point,Area,GCP,Projections,Control_or_Check,Error_(m),Squared_Residual,Enable,X/Longitude,Y/Latitude,Z/Altitude,Easting,Northing,X_error,Y_error,Z_error,X_est,Y_est,Z_est
10,GroupE,6,Channel,RD4,49.0,Control Point,0.013096,0.000171505216,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.008893,-0.008588,0.004319,-106.188271,38.736659,3012.204319
11,GroupE,6,Channel,RD5,8.0,Control Point,0.006811,4.6389721000000005e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.0037719999999999997,0.00545,-0.0015660000000000001,-106.189552,38.735007,3128.595434
120,GroupD,6,Entire Basin,T3,217.0,Check Point,0.023128,0.000534904384,0.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.016114,0.016513999999999997,-0.001585,-106.186826,38.733321999999994,2763.7494149999998
122,GroupD,6,Entire Basin,DT1,15.0,Check Point,0.017165,0.000294637225,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.013904,-0.007709000000000001,0.006470999999999999,-106.183008,38.730469,2670.842471
124,GroupD,6,Entire Basin,DT3,153.0,Check Point,0.06048200000000001,0.003658072324000001,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.011722,-0.031701,-0.050156,-106.184471,38.731237,2683.127844
126,GroupD,6,Entire Basin,DT5,209.0,Check Point,0.05128099999999999,0.0026297409609999994,0.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.006763,-0.011776,0.049451,-106.185148,38.733289,2792.921451
128,GroupD,6,Entire Basin,RD2,14.0,Check Point,0.027902,0.000778521604,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.0042369999999999994,-0.0044399999999999995,-0.027218,-106.185627,38.735308,3038.075782
130,GroupD,6,Entire Basin,RD4,49.0,Check Point,0.041199,0.001697357601,0.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.025204,-0.008814,0.031375,-106.188271,38.736659,3012.231375
121,GroupD,6,Entire Basin,T4,194.0,Control Point,0.020791999999999998,0.0004323072639999999,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.004612,0.01376,0.014889,-106.18664799999999,38.73335,2759.112889
123,GroupD,6,Entire Basin,DT2,81.0,Control Point,0.024613,0.0006057997689999999,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.015486000000000002,-0.014053999999999999,-0.012980000000000002,-106.183741,38.730512,2658.7690199999997
125,GroupD,6,Entire Basin,DT4,239.0,Control Point,0.021689,0.000470412721,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.016291999999999997,0.0036710000000000002,0.013838,-106.185428,38.732221,2711.960838
127,GroupD,6,Entire Basin,RD1,0.0,Control Point,0.0,0.0,1.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,0.0,-0.0,-0.0,-106.184027,38.73474,3036.657
129,GroupD,6,Entire Basin,RD3,56.0,Control Point,0.0078,6.0839999999999993e-05,1.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.000139,-0.007481999999999999,-0.0021969999999999997,-106.187577,38.736354999999996,3028.4558030000003
131,GroupD,6,Entire Basin,RD5,8.0,Control Point,0.004602,2.1178404e-05,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.002388,0.00301,0.002534,-106.189552,38.735007,3128.599534
157,GroupF,6,Ridge,T4,194.0,Check Point,0.024233,0.0005872382890000001,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.011675,0.008222,0.019579,-106.18664799999999,38.73335,2759.1175789999998
158,GroupF,6,Ridge,DT1,15.0,Check Point,0.015291999999999998,0.00023384526399999994,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.00998,-0.0033689999999999996,0.011085,-106.183008,38.730469,2670.8470850000003
160,GroupF,6,Ridge,DT3,153.0,Check Point,0.05310700000000001,0.002820353449000001,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.005188,-0.030557,-0.043124,-106.184471,38.731237,2683.134876
162,GroupF,6,Ridge,DT5,209.0,Check Point,0.058517999999999994,0.003424356323999999,0.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.0017460000000000002,-0.015740999999999998,0.056334,-106.185148,38.733289,2792.928334
163,GroupF,6,Ridge,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
165,GroupF,6,Ridge,RD3,56.0,Check Point,0.012727,0.000161976529,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.007625,-0.0037310000000000004,-0.009481999999999999,-106.187577,38.736354999999996,3028.448518
156,GroupF,6,Ridge,T3,217.0,Control Point,0.014351,0.00020595120099999996,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.008957,0.010903,0.002618,-106.186826,38.733321999999994,2763.753618
159,GroupF,6,Ridge,DT2,81.0,Control Point,0.024372,0.000593994384,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.020988,-0.009909999999999999,-0.007437,-106.183741,38.730512,2658.774563
161,GroupF,6,Ridge,DT4,239.0,Control Point,0.023184,0.000537497856,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.008925,0.0013369999999999999,0.021356,-106.185428,38.732221,2711.968356
164,GroupF,6,Ridge,RD2,14.0,Control Point,0.019773,0.00039097152899999994,1.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.005987,-0.002088,-0.018729,-106.185627,38.735308,3038.084271
166,GroupF,6,Ridge,RD4,49.0,Control Point,0.024586,0.000604471396,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.015994,-0.005673,0.01779,-106.188271,38.736659,3012.2177899999997
167,GroupF,6,Ridge,RD5,8.0,Control Point,0.012790000000000001,0.00016358410000000002,1.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.011953,0.004272,0.001568,-106.189552,38.735007,3128.598568
61,GroupK,7,Channel,T4,194.0,Check Point,0.016975,0.00028815062500000003,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.0031149999999999997,0.006392,0.015413999999999999,-106.18664799999999,38.73335,2759.113414
62,GroupK,7,Channel,DT1,15.0,Check Point,0.023169,0.0005368025609999999,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.002489,0.018861000000000003,0.013225,-106.183008,38.730469,2670.849225
67,GroupK,7,Channel,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
68,GroupK,7,Channel,RD2,14.0,Check Point,0.07348500000000001,0.005400045225000001,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.002232,0.029296,-0.067355,-106.185627,38.735309,3038.035645
69,GroupK,7,Channel,RD3,56.0,Check Point,0.042539,0.001809566521,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.013277,0.005807,-0.039994,-106.187577,38.736354999999996,3028.418006
